mfg,size,kv,prop,batt,maxrpm,minvolt,maxvolt,maxcurr,maxthr,pwm200,curr200,gpw200,curr50,thr50,filename
Airbot,1806,2300,DAL5030N,3s,21977,12.12,12.59,8.49,435.69,1614,3.53,4.568,2.69,152.76,Airbot_1806_2300kv/Airbot_1806_2300kv_DAL5030N_3s.csv
Airbot,1806,2300,DAL5030N,4s,26700,15.72,16.68,11.69,636.82,1422,2.94,4.133,3.64,250.41,Airbot_1806_2300kv/Airbot_1806_2300kv_DAL5030N_4s.csv
Airbot,1806,2300,GF4045CFN,3s,23974,12.29,12.58,5.63,260.77,1864,4.07,3.981,2.05,87.46,Airbot_1806_2300kv/Airbot_1806_2300kv_GF4045CFN_3s.csv
Airbot,1806,2300,GF4045CFN,4s,29974,16.13,16.76,8.11,410.54,1618,3.43,3.54,2.65,151.09,Airbot_1806_2300kv/Airbot_1806_2300kv_GF4045CFN_4s.csv
Airbot,1806,2300,GF5030N,3s,21797,12.08,12.54,8.58,441.26,1598,3.36,4.812,2.66,160.15,Airbot_1806_2300kv/Airbot_1806_2300kv_GF5030N_3s.csv
Airbot,1806,2300,GF5030N,4s,26528,15.75,16.7,12.05,651.12,1418,2.87,4.223,3.58,254.72,Airbot_1806_2300kv/Airbot_1806_2300kv_GF5030N_4s.csv
Airbot,1806,2300,GF5040CFN,3s,20494,11.94,12.53,10.28,458.62,1564,3.72,4.377,3.1,175.27,Airbot_1806_2300kv/Airbot_1806_2300kv_GF5040CFN_3s.csv
Airbot,1806,2300,GF5040CFN,4s,24574,15.45,16.65,14.03,657.71,1388,3.03,4.021,4.22,268.47,Airbot_1806_2300kv/Airbot_1806_2300kv_GF5040CFN_4s.csv
Airbot,1806,2300,GF5040N,3s,20905,12.01,12.56,9.86,479.61,1528,3.27,4.933,3.07,189.11,Airbot_1806_2300kv/Airbot_1806_2300kv_GF5040N_3s.csv
Airbot,1806,2300,GF5040N,4s,25474,15.63,16.69,13.3,665.77,1380,2.9,4.185,4.11,275.43,Airbot_1806_2300kv/Airbot_1806_2300kv_GF5040N_4s.csv
Airbot,1806,2300,GF5045CFN,3s,20305,12.39,12.57,11.78,493.01,1530,3.78,4.236,3.44,187.87,Airbot_1806_2300kv/Airbot_1806_2300kv_GF5045CFN_3s.csv
Airbot,1806,2300,GF5045CFN,4s,24325,16.41,16.77,16.57,696.52,1380,3.26,3.679,4.78,279.6,Airbot_1806_2300kv/Airbot_1806_2300kv_GF5045CFN_4s.csv
Airbot,1806,2300,GF5045N,3s,19962,11.93,12.54,10.87,469.12,1566,3.83,4.241,3.2,168.75,Airbot_1806_2300kv/Airbot_1806_2300kv_GF5045N_3s.csv
Airbot,1806,2300,GF5045N,4s,23691,15.44,16.65,15.04,689.77,1376,2.97,4.107,4.38,284.18,Airbot_1806_2300kv/Airbot_1806_2300kv_GF5045N_4s.csv
Airbot,1806,2300,HQ4045BN,3s,20520,12.01,12.57,10.46,379.02,1658,4.72,3.445,3.14,138.87,Airbot_1806_2300kv/Airbot_1806_2300kv_HQ4045BN_3s.csv
Airbot,1806,2300,HQ4045BN,4s,24582,15.56,16.71,14.35,544.67,1458,3.74,3.256,4.27,224.46,Airbot_1806_2300kv/Airbot_1806_2300kv_HQ4045BN_4s.csv
Airbot,1806,2300,HQ5030CFN,3s,22345,6.26,12.53,7.77,406.31,1630,3.35,4.828,2.51,149.5,Airbot_1806_2300kv/Airbot_1806_2300kv_HQ5030CFN_3s.csv
Airbot,1806,2300,HQ5030CFN,4s,27402,15.83,16.74,11.01,599.16,1434,2.85,4.236,3.39,236.49,Airbot_1806_2300kv/Airbot_1806_2300kv_HQ5030CFN_4s.csv
Airbot,1806,2300,HQ5030N,3s,22825,12.18,12.56,7.2,383.91,1666,3.43,4.713,2.38,141.13,Airbot_1806_2300kv/Airbot_1806_2300kv_HQ5030N_3s.csv
Airbot,1806,2300,HQ5030N,4s,28371,15.97,16.76,10.23,563.85,1482,3.14,3.845,3.25,208.6,Airbot_1806_2300kv/Airbot_1806_2300kv_HQ5030N_4s.csv
Airbot,1806,2300,HQ5040N,3s,20254,11.98,12.58,10.54,477.62,1536,3.55,4.544,3.2,186.69,Airbot_1806_2300kv/Airbot_1806_2300kv_HQ5040N_3s.csv
Airbot,1806,2300,HQ5040N,4s,24342,15.6,16.75,14.63,673.27,1382,3,4.03,4.33,277.16,Airbot_1806_2300kv/Airbot_1806_2300kv_HQ5040N_4s.csv
Airbot,1806,2300,HQ5040x3CFN(4),3s,20811,12.45,12.56,11.08,390.5,1640,4.81,3.333,3.34,148.74,Airbot_1806_2300kv/Airbot_1806_2300kv_HQ5040x3CFN(4)_3s.csv
